Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
223,CNI,Centuria Capital Group,$2.29,+0.02,+0.88%,$1.23 B,+5.16%
224,MVW,Vaneck Vectors Australian EQUAL Weight ETF,$28.42,+0.67,+2.41%,$1.23 B,-9.20%
225,GOR,Gold Road Resources Ltd,$1.39,+0.065,+4.91%,$1.22 B,+17.30%
226,UMG,United Malt Group Ltd,$4.08,-0.03,-0.73%,$1.22 B,-0.49%
227,TPW,Temple & Webster Group Ltd,$10.00,-0.06,-0.60%,$1.20 B,+358.72%
228,NDQ,Betashares Nasdaq 100 ETF,$26.10,-0.08,-0.31%,$1.18 B,+30.05%
229,OCL,Objective Corporation Ltd,$12.53,-0.47,-3.62%,$1.17 B,+180.94%
230,-,ISX,Isignthis Ltd,$1.07,0.00,0.00%,$1.17 B
231,ZIM,Zimplats Holdings Ltd,$10.89,-0.04,-0.37%,$1.17 B,+0.83%
232,NEA,Nearmap Ltd,$2.33,+0.08,+3.56%,$1.14 B,-10.04%
233,CKF,Collins Foods Ltd,$9.74,+0.17,+1.78%,$1.14 B,-2.60%
234,WGX,Westgold Resources Ltd,$2.68,+0.11,+4.28%,$1.13 B,+9.84%
235,VGAD,Vanguard MSCI INDEX International Shares (Hedged) ETF,$73.34,+1.11,+1.54%,$1.12 B,+1.68%
236,RBL,Redbubble Ltd,$4.09,-0.05,-1.21%,$1.11 B,+114.14%
237,WHC,Whitehaven Coal Ltd,$1.07,+0.05,+4.90%,$1.10 B,-67.77%
238,-,RBD,Restaurant Brands New Zealand Ltd,$8.80,0.00,0.00%,$1.10 B
239,GUD,G.U.D. Holdings Ltd,$12.58,+0.12,+0.96%,$1.09 B,+14.57%
240,BGA,Bega Cheese Ltd,$5.03,+0.01,+0.20%,$1.08 B,+34.49%
241,EML,EML Payments Ltd,$2.98,+0.06,+2.06%,$1.08 B,-25.88%
242,ING,Inghams Group Ltd,$2.88,-0.02,-0.69%,$1.07 B,-9.15%
243,CRN,Coronado Global Resources Inc,$0.77,+0.065,+9.22%,$1.07 B,-66.37%
244,COF,Centuria Office REIT,$2.07,+0.02,+0.98%,$1.07 B,-30.77%
245,LIC,Lifestyle Communities Ltd,$10.17,+0.04,+0.40%,$1.06 B,+21.07%
246,CQE,Charter Hall Social Infrastructure REIT,$2.90,+0.05,+1.75%,$1.05 B,-21.20%
247,BKI,BKI Investment Company Ltd,$1.40,+0.01,+0.72%,$1.03 B,-15.66%
248,MAQ,Macquarie Telecom Group Ltd,$47.50,-0.42,-0.88%,$1.01 B,+103.17%
249,CUV,Clinuvel Pharmaceuticals Ltd,$20.30,+0.37,+1.86%,$1.00 B,-34.77%
250,AUI,Australian United Investment Company Ltd,$8.01,+0.05,+0.63%,$999.67 M,-16.13%
251,ASB,Austal Ltd,$2.78,+0.12,+4.51%,$999.57 M,-36.09%
252,WLE,Wam Leaders Ltd,$1.19,+0.02,+1.71%,$994.98 M,+0.85%
253,BGL,Bellevue Gold Ltd,$1.165,-0.015,-1.27%,$978.48 M,+115.74%
254,GEM,G8 Education Ltd,$1.16,+0.01,+0.87%,$970.57 M,-55.56%
255,NWH,NRW Holdings Ltd,$2.25,+0.07,+3.21%,$960.04 M,-11.77%
256,PNI,Pinnacle Investment Management Group Ltd,$5.12,+0.18,+3.64%,$958.63 M,+4.07%
257,HMC,Home Consortium,$3.70,+0.02,+0.54%,$951.74 M,-5.37%
258,LSF,L1 Long Short Fund Ltd,$1.505,+0.045,+3.08%,$947.16 M,-5.35%
259,MHH,Magellan High Conviction Trust,$1.535,+0.035,+2.33%,$942.06 M,-8.36%
260,CHN,Chalice Gold Mines Ltd,$3.01,+0.2,+7.12%,$929.05 M,"+1,405.00%"
261,PLS,Pilbara Minerals Ltd,$0.415,+0.015,+3.75%,$924.25 M,+9.21%
262,ARF,Arena REIT,$2.71,+0.03,+1.12%,$924.22 M,-7.51%
263,-,IFN,Infigen Energy,$0.93,0.00,0.00%,$902.80 M
264,AX1,Accent Group Ltd,$1.665,+0.045,+2.78%,$902.21 M,+8.47%
265,NHC,New Hope Corporation Ltd,$1.08,+0.025,+2.37%,$898.95 M,-52.00%
266,DUI,Diversified United Investment Ltd,$4.23,+0.01,+0.24%,$898.74 M,-10.76%
267,DTL,Data#3 Ltd,$5.83,-0.07,-1.19%,$897.67 M,+70.97%
268,MND,Monadelphous Group Ltd,$9.48,+0.32,+3.49%,$897.58 M,-40.00%
269,RSG,Resolute Mining Ltd,$0.805,+0.01,+1.26%,$888.63 M,-35.86%
270,HM1,Hearts and Minds Investments Ltd,$3.93,+0.01,+0.26%,$884.25 M,+31.44%
271,WAF,West African Resources Ltd,$1.005,+0.07,+7.49%,$880.49 M,+99.01%
272,PSI,PSC Insurance Group Ltd,$2.99,+0.09,+3.10%,$873.93 M,+7.17%
273,NWS,News Corporation,$18.72,+0.31,+1.68%,$872.54 M,-9.48%
274,SM1,Synlait Milk Ltd,$4.82,-0.08,-1.63%,$864.54 M,-44.98%
275,LEP,Ale Property Group,$4.35,+0.01,+0.23%,$860.47 M,-18.84%
276,OBL,Omni Bridgeway Ltd,$3.36,+0.02,+0.60%,$853.64 M,-2.33%
277,ORE,Orocobre Ltd,$2.48,+0.03,+1.22%,$853.23 M,-9.82%
278,HBRD,Betashares Active Australian Hybrids Fund (Managed Fund),$10.13,+0.02,+0.20%,$850.04 M,-0.59%
279,ETHI,Betashares Global Sustainability Leaders ETF,$10.10,+0.05,+0.50%,$846.86 M,+10.14%
280,A200,Betashares Australia 200 ETF,$101.73,+1.99,+2.00%,$837.93 M,-9.02%
281,SSM,Service Stream Ltd,$2.04,+0.055,+2.77%,$835.91 M,-21.24%
282,-,FNP,Freedom Foods Group Ltd,$3.01,0.00,0.00%,$834.10 M
283,IDX,Integral Diagnostics Ltd,$4.18,+0.06,+1.46%,$829.92 M,+18.08%
284,EOS,Electro Optic Systems Holdings Ltd,$5.47,+0.1,+1.86%,$818.20 M,-23.17%
285,RFF,Rural Funds Group,$2.40,+0.03,+1.27%,$812.06 M,+38.73%
286,-,NBI,NB Global Corporate Income Trust,$1.81,0.00,0.00%,$806.97 M
287,LOV,Lovisa Holdings Ltd,$7.50,+0.24,+3.31%,$805.95 M,-44.65%
288,-,GNC,Graincorp Ltd,$3.52,0.00,0.00%,$805.57 M
289,PGH,Pact Group Holdings Ltd,$2.32,+0.02,+0.87%,$798.07 M,-7.94%
290,VG1,Vgi Partners Global Investments Ltd,$1.96,+0.04,+2.08%,$796.41 M,-12.89%
291,-,OCA,Oceania Healthcare Ltd,$1.27,0.00,0.00%,$795.45 M
292,MGX,Mount Gibson Iron Ltd,$0.67,+0.01,+1.52%,$794.56 M,-13.55%
